,Character,Message
23069,KIRK,"Garth, you have only a handful of men."
23070,GARTH,"You do refuse to enter into the spirit of the thing, don't you, Captain? Perhaps you'd like a larger role in the ceremony. You could serve as human sacrifice, for example."
23071,KIRK,"No, I wouldn't enjoy that at all. Besides, you seem to need me alive."
23072,GARTH,"How true. All right, how about crown prince? That would make you our heir apparent. Heir apparent, I believe, is the proper role for you. Besides, we have other candidates for our human sacrifice. Who knows? Ready."
23073,GARTH,"Well, since there is no one mighty enough to perform this ceremony, we'll perform it ourselves. Therefore, we hereby proclaim that I am Lord Garth, master of the universe. And we designate our beloved Marta to be our consort. And we further designate Captain James Kirk of the Starship Enterprise to be our heir apparent."
23074,GARTH,Now remove our heir apparent that we may conclude this ceremony.
23075,GARTH,"Well done. Well, Captain, you continue to resist. How stupid of you. Put him in that chair right here. I've arranged a small entertainment. I wouldn't want him to miss any of it. Well, Captain, even you must admit that I'm a genius. What you see here is my latest invention. This is an explosive, the most powerful one in history. If I were to drop this flask, the resulting explosion would vaporise this planet. Now do you see why it is ridiculous to resist me? Well, perhaps you require the demonstration I've arranged. Watch closely."
23076,GARTH,"Now, it is true that she is deadly as a poisonous serpent, but she is also a beautiful woman, and you have held her in your arms, Captain. I've ordered my men to drive her out of the protective dome. And, of course, she would choke to death on the outside in minutes."
23077,GARTH,"But I've arranged a more merciful end for her because after all, Captain, she is my consort. One tiny crystal implanted in her necklace, a portion of this explosive no bigger than a grain of sand. I propose to detonate it from here."
23078,GARTH,"Poor girl. Poor, dear, suffering child. I will help her now."
23079,SCOTT,Point nine five!
23080,MCCOY,It must've wiped out everything.
23081,SCOTT,"Immediate probe. Is the force field in place, Mister Sulu?"
23082,SULU,"Yes, sir. Solidly."
23083,UHURA,Life continues to exist on the planet.
23084,MCCOY,Got to break through it somehow.
23085,SCOTT,"Doctor, I told you we couldn't do it without killing everyone in the asylum dome."
23086,MCCOY,"I know it, Scotty."
23087,SCOTT,"Well, there's one last thing we might try. Perhaps the ship's phasers can cut through a section of the force field at its weakest point. Where did you say that was located, Mister Sulu?"
23088,SULU,"On the far side of the planet, Mister Scott."
23089,MCCOY,Will it leave a margin of safety for the people below?
23090,SULU,"Yes, sir."
23091,SCOTT,"Prepare to change orbital path, Mister Sulu."
23092,SULU,"Orbital co-ordinates released, sir."
23093,SCOTT,Break synchronous orbit. Come to course one four mark six eight.
23094,SULU,"Course one four mark six eight. Synchronous orbit re-established, sir."
23095,SCOTT,Ship's phasers to narrow beam.
23096,SULU,"Ship's phasers ready, sir."
23097,SCOTT,"Let's punch a hole in it. Full power. Another blast, full power.&nbsp;"
23098,SULU,"Force field still holding, sir."
23099,GARTH,"How are your nerves, Kirk?"
23100,KIRK,"All I can say, Garth, if it happens to me, it happens to you."
23101,GARTH,"You're an extraordinary fellow, Kirk. Your stubbornness defies all logic. Logic, that is the key. Your friend Spock is a logical man. A very logical man. Go and bring the Vulcan here to me."
23102,GARTH,"Spock is not only a more logical man than you, Captain, but a more intelligent one, I'm sure. I shall establish a rapport with him."
23103,GARTH,Fascinating. Your Vulcan friend is a very ingenious fellow. This could be most amusing.
23104,KIRK,"That's Garth, stun him."
23105,KIRK,"Hold it, Spock. That's Garth."
23106,KIRK,"Look at me carefully, Spock. Can't you tell I'm your Captain?"
23107,SPOCK,Queen to queen's level three.
23108,KIRK,I won't answer that. That's exactly what he wants to know.
23109,KIRK,"Very clever, Garth. That's exactly what I was going to say."
23110,KIRK,What are you doing?
23111,SPOCK,Arranging to beam down a security team. Are there any objections?
23112,KIRK,Yes. They may walk into a trap.
23113,KIRK,That's right. Garth can destroy us.
23114,SPOCK,Fascinating. What maneuver did we use to defeat the Romulan vessel near Tau Ceti?
23115,KIRK,"Very good, Spock. The Cochrane deceleration."
23116,KIRK,"Spock, you know the Cochrane deceleration's a classic battle maneuver. Every Starship Captain knows that."
23117,SPOCK,"Agreed, Captain. Captains. Gentlemen, whichever one of you is Captain Garth must at this moment be expending a great deal of energy to maintain the image of Captain Kirk. That energy level cannot be maintained indefinitely, and I have time."
23118,KIRK,"I'm your Captain, Spock! Can't you tell? Shoot! Shoot!"
23119,KIRK,"He's right, Spock. You must shoot, but shoot both of us. It's the only way to ensure the safety of the Enterprise."
23120,SPOCK,"Captain Kirk, I presume."
23121,KIRK,Mister Spock.
23122,SPOCK,Spock to Enterprise.
23123,SCOTT,Enterprise here. Queen to queen's level three.
23124,SPOCK,Queen to king's level one.
23125,CORY,Will intramuscular injection be satisfactory?
23126,MCCOY,Intravenous is indicated unless circumstances make it impossible.
23127,CORY,"How long before it takes effect, Doctor McCoy?"
23128,MCCOY,Reversal of arterial and brain damage should begin almost immediately.
23129,KIRK,"Captain Garth, I'm James Kirk."
23130,SPOCK,"I am Mister Spock, science officer on a Starship."
23131,KIRK,The starship Enterprise.
23132,GARTH,Starship. Starship.
23133,KIRK,"Yes, sir, the Enterprise. I'm the captain.  Can I help?"
23134,CORY,"No, Captain. The medicine seems to be taking effect. I can manage. It's very encouraging."
23135,GARTH,"Should I know you, sir?"
23136,KIRK,"No, Captain. No."
23137,KIRK,Mister Spock.
23138,SPOCK,"Yes, Captain."
23139,KIRK,Tell me something. Why was it so impossible to tell the difference between us?
23140,SPOCK,"It was not impossible, Captain. Our presence here is proof of that."
23141,KIRK,"Yes, and congratulations. What took you so long?"
23142,SPOCK,"The interval of uncertainty was actually fairly brief, Captain. It only seemed long to you. I was waiting for a victor in the hand to hand struggle, which I assumed would be Captain Garth. Because of your depleted condition. Failing a resolution to the struggle, I was forced to use other means to make my determination."
23143,KIRK,"I see. Mister Spock. Letting yourself be hit on the head, and I presume you let yourself be hit on the head, is not exactly a method King Solomon would have approved. Mister Scott, ready to beam up."
23144,SCOTT,"Aye, aye, sir."
23145,CHEKOV,"At present speed, our eta is three hours, four minutes, sir."
23146,KIRK,"Lieutenant Uhura, advise the planet's ministry of health that we'll begin decontamination procedures immediately upon locking into orbit."
23147,UHURA,"Aye, aye, sir."
23148,KIRK,"Scotty, will that present any problems for you?"
23149,SCOTT,"None, sir. All tanks are being positioned."
23150,SULU,"Captain, sensors indicate a space vehicle of some sort ahead."
23151,KIRK,Is it within visual range?
23152,SULU,"Coming into range now, sir. It's following a very erratic course."
23153,KIRK,"Put it on the screen, extreme magnification."
23154,CHEKOV,I think that may be a Starfleet shuttlecraft.
23155,SPOCK,"That is exactly what it is, Mister Chekov."
23156,SULU,It looks like the one reported stolen from Starbase Four two weeks ago.
23157,KIRK,"Lieutenant Uhura, try to contact them on command frequency two."
23158,UHURA,"Aye, Captain. No response, sir."
23159,KIRK,Try all frequencies.
23160,UHURA,"Aye, sir. Hailing on all frequencies."
23161,SPOCK,"Captain, there is one living creature aboard. Humanoid. He is either injured or ill. His craft shows internal atmospheric leakage. The creature may be suffocating."
23162,KIRK,"Lieutenant Sulu, activate tractor beams."
23163,SULU,"Tractor beams activated. We have it, sir."
23164,KIRK,Prepare to bring it aboard the hangar deck.
23165,SULU,"Aye, sir."
23166,KIRK,"Lieutenant Uhura, send a security team to the pressure doors on the hangar deck."
23167,UHURA,"Aye, sir."
23168,KIRK,"Mister Spock, come with me. Scotty."
23169,SULU,Hangar doors open and clearing for entrance of shuttlecraft. Shuttlecraft approaching hangar deck.
23170,KIRK,Kirk here.
23171,SULU,"Hangar doors closed, and hangar deck is pressurising."
23172,KIRK,Acknowledged.
23173,SPOCK,"You are certain, Doctor, that this pigmentation is the natural condition of this individual?"
23174,MCCOY,"That's what I've recorded, Mister Spock."
23175,KIRK,Do we have any knowledge of a planet that could have produced such a race of beings?
23176,SPOCK,"Negative, Captain."
23177,KIRK,"Bones, what do you make of it?"
23178,MCCOY,"Well, I can't give you any specific circumstance that will explain him."
23179,KIRK,"And judging by looking at him, we know at the very least he is the result of a very dramatic conflict. Spock?"
23180,SPOCK,"There is no theory, Captain, from the basic work of Mendel to recent nucleotide studies, which would explain our captive. All gradations of colour from black to brown, to yellow to white are genetically predictable. We must therefore conclude that this alien is that often unaccountable rarity, a mutation, one of a kind."
23181,MCCOY,"Yes, I would agree. That's the case here."
23182,KIRK,"Your prognosis, Doctor?"
23183,MCCOY,"Well, I can't give you one, Jim. I've never worked on anyone like him or anything like him."
23184,SPOCK,Yet you are pumping him full of your noxious potions as if he were a human.
23185,MCCOY,"When in doubt, the book prevails, Mister Spock. I've run tests. Blood is blood, even when it's green like yours. The organs are there. They're rearranged to a degree, plus a few I've never seen before. Now, I've enriched the oxygen content of his blood and pumped in a strong stimulant. And I must say his recuperative powers appear to be excellent."
23186,SPOCK,"With your permission, Captain, I shall do some further research and join you on the bridge."
23187,CHAPEL,"He's coming around, Doctor."
23188,MCCOY,"Well, touch and go there for a minute, but you're out of danger now."
23189,KIRK,You're aboard the starship Enterprise.
23190,LOKAI,I've heard of it. It's in the United Fleet of Planets?
23191,KIRK,Federation. So was the shuttlecraft that you were flying in.
23192,LOKAI,It was?
23193,KIRK,Don't you usually know whose property you've stolen?
23194,LOKAI,I am not a thief.
23195,KIRK,"Well, certainly no ordinary thief, considering what it is you appropriated."
23196,LOKAI,You're being very loose with your accusations and drawing conclusions without any facts.
23197,KIRK,"Well, I do know you made off with a ship that didn't belong to you."
23198,LOKAI,"I do not make off with things. My need gave me the right to use the ship. Mark the word, sir, the use of it."
23199,KIRK,You can try those technical evasions on Starfleet Command. That's where you'll be facing your charges.
23200,LOKAI,I'm grateful for your rescue.
23201,KIRK,Don't mention it. We're pleased to have caught you. Who are you?
23202,LOKAI,My name is Lokai.
23203,KIRK,Go on.
23204,LOKAI,From the planet Cheron.
23205,KIRK,"That's in the southernmost part of the galaxy, in an uncharted quarter. What are you doing so far from home?  You understand that when we complete our mission, we'll take you to Starbase where you'll face a very serious charge."
23206,LOKAI,The charge is trifling. I would've returned the ship as soon as I
23207,KIRK,Had what? What were you going to do?
23208,LOKAI,You monotone humans are all alike. First you condemn and then attack. I will answer no more questions.
23209,MCCOY,"Well, however we view him, Captain, he's certainly no ordinary specimen. Lokai, I don't know what's normal for you exactly, but if I had your readings, I'd be the most incredible physical specimen of all time."
23210,KIRK,We've never encountered a being like you. I'd like to know more about you and your planet.
23211,LOKAI,I'm very tired.
23212,KIRK,"And very evasive. Or at least not fully responsive. Now, then,"
23213,LOKAI,"I insist, I'm extremely tired. Made so by your vindictive cross-examinations. I will answer no more questions."
23214,KIRK,Lieutenant Uhura.
23215,UHURA,Lieutenant Uhura here.
23216,KIRK,"Notify Starbase Four that we've recovered its shuttlecraft, and it will be returned along with its user as soon as we've completed our mission at Ariannus."
23217,UHURA,"Aye, sir."
23218,KIRK,"Bones, if you're satisfied that the mutation theory is applicable, I'll make a note of it in my report."
23219,MCCOY,"Unless we get more information from him, it'll have to serve."
23220,KIRK,Kirk here.
23221,CHEKOV,"Captain, contact with alien ship, sir."
23222,KIRK,I'll be right there. Notify Mister Spock.
23223,CHEKOV,"I verify, sir, it's out there."
23224,KIRK,"Maximum magnification. I draw a blank, Mister Spock. Your response?"
23225,SPOCK,"Negative, Captain."
23226,CHEKOV,"No malfunction, sir. The reading persists."
23227,KIRK,What is it?
23228,SPOCK,"There is a vessel out there, Captain."
23229,KIRK,Could it be a Romulan ship using their cloaking device?
23230,SPOCK,"Negative. This would not be a Romulan vessel. It is totally alien in configuration. Motive power unknown. Small size of the craft indicates a rapid scout vessel, one or two-man crew."
23231,UHURA,"Captain, I've tried all hailing frequencies. Negative, sir."
23232,KIRK,"Weaponry on the vessel, Spock?"
23233,SPOCK,Nothing identifiable. The craft appears to be built for speed rather than combat.
23234,KIRK,Something out there can't be seen. Explanation?
23235,SPOCK,"None. Completely elusive. In fact, it's invisible."
23236,KIRK,Invisible. Malfunction?
23237,SPOCK,There is no sensor failure. The readings persist.
23238,CHEKOV,It's headed straight for us!
23239,KIRK,Evasive action.
23240,CHEKOV,"It shifts with us, sir. And we're pushing to the limit!"
23241,KIRK,"Deflector shields activated, Mister Sulu."
23242,SULU,"Automatic, sir."
23243,CHEKOV,We're on collision course.
23244,SULU,It's out of control or a suicide mission.
23245,KIRK,Sound warning for collision. Red Alert.
23246,SULU,Brace yourself for collision. Brace yourself.
23247,KIRK,"Read out, Mister Spock."
23248,SPOCK,It just disintegrated. Fascinating.
23249,KIRK,What is it now?
23250,SPOCK,"It is gone now, Captain, but it seems to have deposited an alien presence."
23251,KIRK,Where?
23252,BELE,"Right here, Captain."
23253,KIRK,"Explain, Spock. One of a kind?"
23254,BELE,I am Bele.
23255,KIRK,"Of the planet Cheron, no doubt."
23256,BELE,Forgive my unorthodox arrival.
23257,KIRK,Your mode of travel was also unorthodox. Secure from Red Alert. What happened to your vehicle?
23258,BELE,"It served me long and durably. Unfortunately, the strain of arduous pursuit has exceeded even its advanced qualities. I was just able to complete this trip and disembark in time, or I would have disintegrated in space with it."
23259,SPOCK,A most unique craft. Pity it couldn't be salvaged for our study.
23260,BELE,Yes. It was sheathed in special materials that rendered it invisible.
23261,KIRK,What brings you to us?
23262,BELE,"You bear precious cargo, Lokai. He has taken refuge aboard this ship. I am here to claim him."
23263,KIRK,All personnel aboard this vessel are subject to my command. No one claims anyone without due process.
23264,BELE,"My apologies, Captain. I overstepped my powers. Claim is undoubtedly an unfortunate word."
23265,KIRK,What is your authorisation? From what source?
23266,BELE,"I am chief officer of the Commission on Political Traitors. Lokai was tried and convicted of treason, but had escaped. May I see him, please?"
23267,KIRK,"He's in Sickbay. Remember, since you're aboard the Enterprise, you're bound by its regulations."
23268,BELE,"With your permission, Captain."
23269,KIRK,Mister Spock.
23270,LOKAI,"I will not return to Cheron with him, to a land of murdering oppressors!"
23271,KIRK,I told you where you were going. I allowed your fellow countryman here simply as a courtesy.
23272,BELE,"And you see how this killer repays you, as he repays all his benefactors."
23273,LOKAI,"Benefactors? He's a liar. He raided our homes, tore us from our families, herded us together like cattle and then sold us as slaves!"
23274,BELE,"They were savages, Captain. We took them into our hearts, our homes. We educated them."
23275,LOKAI,"Yes, just education enough to serve the master race."
23276,BELE,You were the product of our love! And you repaid us with murder.
23277,LOKAI,Why should a slave show mercy to the enslaver?
23278,BELE,Slaves? That was changed thousands of years ago. You were freed.
23279,LOKAI,Freed? Were we free to be men? Free to be husbands and fathers? Free to live our lives in equality and dignity?
23280,BELE,"Yes, you were free, if you knew how to use your freedom. You were free enough to slaughter and to burn all the things that had been built!"
23281,LOKAI,I tried to break the chains of a hundred million people. My only crime is that I failed. To that I do plead guilty.
23282,BELE,There is an order in things. He asked for utopia in a day. It can't be done.
23283,LOKAI,"Not in a day. And not in ten times ten thousand years by your thinking. To you, we are a loathsome breed who will never be ready. Genocide for my people is the plan for your utopia."
23284,BELE,"You insane, you filthy little plotter of ruin. You vicious subverter of every decent thought. Oh, you're coming back to pay for your crimes!"
23285,LOKAI,"I know you and all those with whom you're plotting to take power permanently. When I return to Cheron, you will understand what power is. I will have armies of followers."
23286,KIRK,"It's now very clear you know each other extremely well, gentlemen. The only service this ship can offer is to bring you together. It is not a battlefield."
23287,LOKAI,"Captain, I led revolutionaries, not criminals. I demand political asylum. This ship is a sanctuary."
23288,KIRK,"I'll tell you once more. For you, this ship is a prison."
23289,BELE,"Captain, it is imperative that you return Lokai to Cheron for judgment."
23290,KIRK,"Commissioner, Cheron is not a member of the Federation. No treaties have ever been signed. Your demand for possession of this prisoner cannot be honoured. There are no extradition procedures to allow it. Is that clear, Commissioner Bele?"
23291,BELE,"Captain, I hope you will be sensible."
23292,KIRK,How do you mean?
23293,BELE,Co-operation.
23294,KIRK,I cannot take sides.
23295,BELE,"Since I am without a vessel to return to Cheron, I insist that you take us there immediately."
23296,KIRK,"Impossible. I have a mission to accomplish. There's a planet to be decontaminated. Millions of lives are at stake. Once that has been completed, I'll return to Starbase Four and turn you both over to the authorities. You can make your case to them."
23297,BELE,"I am sorry, Captain. That will not be satisfactory, not at all satisfactory."
23298,KIRK,"Commissioner, as a visiting dignitary from a far planet, I offer you every hospitality aboard this ship. Choose any other course,"
23299,BELE,You're the captain.
23300,KIRK,"Yes, I am. I think we can consider your problem settled. At least for the present. I have ordered guest quarters for you on deck six."
23301,KIRK,"And I suggest you get a great deal of rest, especially your vocal chords. It seems you'll have a double opportunity to practise your oratory on Starbase Four."
23302,CHEKOV,Chekov to Captain Kirk. Chekov to Captain Kirk. Urgent.
23303,KIRK,Kirk here.
23304,CHEKOV,"Captain, we're off course."
23305,KIRK,"Well, get back on course."
23306,CHEKOV,"That's just it, sir. The ship's taken a new heading all by itself."
23307,KIRK,I'll be right there.
23308,SULU,"No, sir. The ship is unresponsive. We're moving away from Ariannus."
23309,KIRK,"Explanation, Mister Spock?"
23310,SPOCK,"Elusive, Captain. I am investigating."
23311,SULU,I can't understand it. I simply have no control.
23312,KIRK,Kirk to engineering.
23313,SCOTT,Scott here.
23314,KIRK,"Scotty, we're suddenly off course. Check our manoeuvering controls."
23315,KIRK,Switch to auxiliary.
23316,SCOTT,"Aye, sir. Out.  Engineer to bridge."
23317,SCOTT,"On auxiliary, sir."
23318,KIRK,"Stand by for check. Scotty, we're still off course."
23319,SCOTT,I'll be right up.
23320,KIRK,"Speed, Mister Chekov."
23321,CHEKOV,We're moving at warp eight.
23322,KIRK,And new course?
23323,CHEKOV,four oh three mark seven. Straight for the Coal Sack if there is no letup.
23324,KIRK,"Lieutenant Uhura, put the ship on Red Alert. All hands, this is the captain. The ship is on Red Alert."
23325,KIRK,"Our new heading, Mister Chekov?"
23326,CHEKOV,Four oh three mark seven.
23327,KIRK,Spock?
23328,SPOCK,"Confirmed, Captain. Holding pattern. Co-ordinates now indicate we are charting course to  Captain, Cheron lies between four oh three mark seven and mark nine."
23329,BELE,"We're on the way to Cheron. Captain, this ship is now under my direction. For fifty thousand of your terrestrial years, I have been pursuing Lokai through the galaxy. I have not travelled this far, this long, only to give him up. This ship goes where my will drives it."
23330,SCOTT,"Captain, we are now at warp ten and the speed is increasing!"
23331,SPOCK,"Captain, course is now clearly straight for Cheron, despite all efforts to direct us to Ariannus."
23332,LOKAI,"I will not return to Cheron. Captain, you must guarantee me sanctuary."
23333,BELE,"He cannot help you now. You are lost, Lokai. You're on the way to judgment, to final punishment."
23334,LOKAI,Stop him.
23335,BELE,You evil mound of filth. Not this time.
23336,LOKAI,My cause is just. You must help me. All of you must help me.
23337,BELE,"Oh, the old cry. Pity me, pity me. Everywhere he's gone, he's been helped to escape. On every planet he's found fools who bleed for him and shed tears for the oppressed one. But there is no escape for you on this ship. This is your last sanctuary."
23338,LOKAI,Kill him. Kill him!
23339,KIRK,You're two of a kind.
23340,BELE,And we are both going to Cheron. You cannot change the course of this ship any more than you can change me. This ship goes where I want it to go.
23341,KIRK,"Security, put them both in the brig."
23342,KIRK,Phasers on stun. Fire.
23343,BELE,"Your phasers are ineffective against our shields. You are helpless, Captain."
23344,LOKAI,"What a fool I am, expecting help from someone like you."
23345,KIRK,This ship is going to Ariannus.
23346,BELE,"No, this ship is going to Cheron. I will let nothing interfere."
23347,KIRK,We are going to Ariannus. The lives of a billion people make no other choice possible.
23348,BELE,"You are being obtuse, Captain. I am permitting no choice. My will now controls this, and nothing can break it."
23349,KIRK,"Bele, I am captain of this ship, and it will follow whatever course I set for it, or I will order its destruction."
23350,BELE,You're bluffing.
23351,KIRK,I will destroy it.
23352,BELE,You can no more destroy this ship than I can change colour.
23353,KIRK,"Lieutenant Uhura, tie in the bridge to the master computer."
23354,UHURA,"Aye, sir."
23355,KIRK,"Computer, destruct sequence. Are you ready to copy?"
23356,COMPUTER,Working.
23357,KIRK,"Prepare to verify destruct sequence code one. Computer, this is Captain James Kirk of the USS Enterprise. Destruct sequence one, code one, one A."
23358,KIRK,Mister Spock.
23359,SPOCK,"This is Commander Spock, science officer. Destruct sequence number two, code one, one A, two B."
23360,COMPUTER,Voice and code verified and correct. Sequence two complete.
23361,KIRK,Mister Scott.
23362,SCOTT,"This is Lieutenant Commander Scott, chief engineering officer of the USS Enterprise. Destruct sequence number three, code one B, two B, three."
23363,COMPUTER,"Voice and code one B, two B, three verified and correct. Destruct sequence completed and engaged. Awaiting final code for thirty second countdown."
23364,KIRK,"Mister Spock, has the ship returned to the course set for it by my orders?"
23365,SPOCK,"Negative, Captain. We are still headed directly for Cheron."
23366,COMPUTER,Destruct sequence engaged. Awaiting final code for thirty second countdown.
23367,KIRK,"Computer, this is Captain James Kirk of the USS Enterprise. Begin thirty second countdown. Code zero, zero, zero, destruct zero."
23368,COMPUTER,"Thirty seconds. twenty nine, twenty eight, twenty seven,  twenty five seconds,"
23369,KIRK,Let's see you prevent the computer from fulfilling my commands.
23370,COMPUTER,"Twenty seconds,"
23371,KIRK,"From five to zero, no command in the universe can prevent the computer from fulfilling its destruct orders."
23372,COMPUTER,"Fifteen seconds,"
23373,KIRK,You can use your will to drag this ship to Cheron. But I command the computer. Mine is the final command.
23374,COMPUTER,"Ten, nine, eight, seven, six,"
23375,BELE,I agree!
23376,KIRK,"Computer. This is Captain James Kirk of the USS Enterprise. Code one, two, three continuity. Abort destruct order. Repeat code one, two, three continuity. Abort destruct order."
23377,COMPUTER,Destruct order aborted. Destruct order aborted.
23378,KIRK,"Mister Spock, is this ship headed for Ariannus?"
23379,SPOCK,"Negative, Captain. The Enterprise is now moving in a circular course."
23380,SCOTT,"And at warp ten, we're going now here mighty fast."
23381,LOKAI,I warned you of his treachery. Kill him!
23382,KIRK,"We're waiting for you to fulfil your commitment, Commissioner."
23383,BELE,"Captain, I am happy to have you complete your mission of mercy to the planet Ariannus. It was madness to interfere with such a worthwhile endeavour. But, if you will, upon completion, please take me and my traitorous captive to Cheron."
23384,KIRK,"I make no deals for control of this ship, sir."
23385,BELE,The ship's course is now in your control.
23386,KIRK,Ship's course?
23387,SPOCK,"Enterprise is now on course to Ariannus, Captain."
23388,KIRK,"Speed, Scotty?"
23389,SCOTT,"Warp six and smoothly operating, sir."
23390,KIRK,"Good. Lieutenant Uhura, cancel Red Alert."
23391,UHURA,"Aye, sir."
23392,KIRK,"Let me reaffirm my position, gentlemen. I could put you in the brig for what you have done, but I won't do it because you are new to this part of the galaxy, which is governed by the United Federation of Planets. We live in peace with full exercise of individual rights. The need to resort to violence and force has long since passed, and it will not be tolerated aboard this ship. You are free to move about the ship. I hope that you'll take the opportunity to know more about the Federation through its best representatives, my crew. But let me make it clear. I will stand for no interference with the function of this ship. All hands, return to normal routine. Captain out."
23393,LOKAI,"You speak very well, Captain. Your words promise justice for all."
23394,KIRK,"We try, sir."
23395,LOKAI,"Yes, well, I have learned to wait for actions. After Ariannus, what is justice? I shall wait to see it dispensed."
23396,SPOCK,Fascinating. Two irrevocably hostile humanoids.
23397,SCOTT,Disgusting is what I call them.
23398,SPOCK,That description is not scientifically accurate.
23399,SCOTT,"Mister Spock, the word disgusting describes exactly what I feel about those two."
23400,KIRK,That's enough for today. Those two are beginning to affect you.
23401,LOKAI,"And I know from my actions you must all think me a volcanic hothead, erupting lava from my nostrils at danger signals that are only figments of my imagination. But believe me, my friends, there can be no moment when I can have my guard down where such as Bele is present. So what happens? I act the madman out of the anger and frustration he forces upon me, and thereby prove his point that I am a madman."
23402,SULU,"No one knows how he'll react under pressure, Lokai."
23403,CHEKOV,"After all, we are only human."
23404,LOKAI,"Ah, Mister Chekov, therein lies my lack of ability to alert you and your captain to the real threat of someone like Bele. You see, you are from the planet Earth. There is no persecution on your planet. How can you understand my fear, my apprehension, my degradation, my suffering?"
23405,CHEKOV,There was persecution on Earth once. I remember reading about it in my history class.
23406,SULU,"Yes, but it happened way back in the twentieth century. There's no such primitive thinking today."
23407,LOKAI,"You have read about it in history, I see. How can I make your flesh know how it feels to see all those who are like you, and only because they are like you, despised, slaughtered, and even worse, denied the simplest bit of decency that is a living being's right? Do you know what it would be like to be dragged out of your hovel into a war on another planet? A battle that will serve your oppressor and bring death to you and your brothers?"
23408,KIRK,I expect the answer is already on its way.
23409,BELE,"Well, then, let us drink to their wise solution to our problem."
23410,KIRK,Let's do that.
23411,SPOCK,"Commissioner, Starfleet Command may not arrive at the solution you anticipate. There is the matter of the shuttlecraft which Lokai appropriated. The interrogation of that matter may be of paramount importance to Starfleet."
23412,BELE,"Gentlemen, we are discussing a question of degree. Surely, stealing a shuttlecraft cannot be equated with the importance of murdering thousands of people."
23413,SPOCK,We do not know that Lokai has done that.
23414,BELE,One thing we are agreed on is that Lokai is a criminal.
23415,KIRK,"No, Commissioner. The one thing we're agreed upon is that Lokai took a shuttlecraft."
23416,KIRK,Excuse me.
23417,UHURA,Uhura to Captain Kirk.
23418,KIRK,Kirk here.
23419,UHURA,"I have a communication from Starfleet Command, sir."
23420,KIRK,"Yes, read it."
23421,KIRK,That's enough. Thank you.
23422,BELE,"As always, Lokai has managed to gain allies."
23423,KIRK,"Now, wait a minute, Commissioner,"
23424,BELE,"Even if they don't recognise themselves as being such. Yes, he will evade, delay, and escape again and in the process put thousands of innocent beings at each other's throats, getting them to kill and maim for a cause which they have no stake in, but which he will force them to violently espouse by twisting their minds with his lies, his loathsome accusations and his foul threats."
23425,KIRK,"I can assure you, Commissioner, that our minds will not be twisted, not by Lokai, nor by you."
23426,BELE,It is obvious to the most simpleminded that Lokai is of an inferior breed.
23427,SPOCK,"The obvious visual evidence, Commissioner, is that he is of the same breed as yourself."
23428,BELE,"Are you blind, Commander Spock? Well, look at me. Look at me!"
23429,KIRK,You're black on one side and white on the other.
23430,BELE,I am black on the right side.
23431,KIRK,I fail to see the significant difference.
23432,BELE,Lokai is white on the right side. All of his people are white on the right side.
23433,SPOCK,"Commissioner, perhaps the experience of my own planet Vulcan may set an example of some value to you. Vulcan was in danger of being destroyed by the same conditions and characteristics which threaten to destroy Cheron. We were once a people like yourselves, wildly emotional, often committed to irrationally opposing points of view, leading, of course, to death and destruction. Only the discipline of logic saved my planet from extinction."
23434,BELE,"Commander Spock, I am delighted that Vulcan was saved, but you cannot expect Lokai and people like him to act with self-discipline any more than you can expect a planet to stop orbiting its sun."
23435,KIRK,"Let Lokai state his grievances. Hear him, listen to him. Maybe he can change. Maybe he wants to change his image."
23436,BELE,He cannot change.
23437,SPOCK,"Change is the essential process of all existence. For instance, the people of Cheron must have once been mono-coloured."
23438,BELE,You mean like both of you?
23439,KIRK,"There must have been a time, long ago no doubt, when that was true."
23440,KIRK,Excuse me. Kirk here.
23441,SCOTT,"We're orbiting Ariannus, sir."
23442,KIRK,Very good. Commence decontamination procedures when ready. Advise when complete.
23443,SCOTT,"At once, sir. Scott out."
23444,BELE,I once heard that on some of your planets people believe they are descended from apes.
23445,SPOCK,The actual theory is that all life-forms evolved from the lower levels to the more advanced stages.
23446,CHEKOV,"Ready, sir."
23447,SULU,Ready here.
23448,UHURA,"Ready, Mister Scott."
23449,SCOTT,"Mister Sulu, lock into co-ordinates requested by Ariannus."
23450,SULU,"Locked in, sir."
23451,SCOTT,"Mister Chekov, position tanks for spray release."
23452,CHEKOV,Tanks positioned.
23453,SCOTT,"Lieutenant Uhura, advise Ariannus the mission is to begin on signal. All ground precautions must be ready."
23454,UHURA,Ariannus says go ahead.
23455,SCOTT,"Well, let 'er rip."
23456,SCOTT,Scott to Captain Kirk.
23457,KIRK,Kirk here.
23458,SCOTT,"First run complete, sir."
23459,CHEKOV,"Ready, sir."
23460,SCOTT,Mister Sulu?
23461,SULU,Ready here.
23462,KIRK,Kirk here.
23463,SCOTT,"We're completing the final orbit of Ariannus, sir. I'm awaiting instructions to set course for the next destination."
23464,KIRK,Very good. We'll be right up.
23465,BELE,There is nothing I would like more.
23466,SPOCK,"Trouble, Mister Chekov?"
23467,CHEKOV,"I don't rightly know, Mister Spock. I was trying to programme for Starbase Four as ordered. I can't get a response."
23468,UHURA,"It just seemed to go dead, sir."
23469,SPOCK,"Captain, some of the memory banks of the computer are burned out."
23470,KIRK,Can you determine which ones?
