Speaker,Dialogue
IRINA,Are you happy in what you do?
CHEKOV,Yes.
IRINA,Then I accept what you do.
CHEKOV,You even talk like them. Why did you go away?
IRINA,It was you who went.
CHEKOV,I came back to look for you. I looked. Where did you go?
IRINA,"I stayed in the city, with friends."
CHEKOV,You never felt as I did. Never.
IRINA,I did.
CHEKOV,You don't have it in you to feel so much. Even when we were
IRINA,"Because you disapproved of me, Just as you do now. Oh, Pavel,"
CHEKOV,Go to your friends.
ALL,Free Doctor Sevrin! Free Doctor Sevrin! We
ADAM,We want to see him now!
ALL,Herbert! Herbert! Herbert! Herbert!
CHAPEL,I thought all the animals were kept in cages.
KIRK,"What's going on, Bones?"
MCCOY,Trouble. Your friend here didn't want a checkup. Turns out
SEVRIN,I refuse to accept your findings.
MCCOY,You don't have the choice.
SEVRIN,"They're the product of prejudice, not science."
MCCOY,I don't know what this man was planning on doing on a primitive
SEVRIN,Untrue!
MCCOY,There wouldn't have been enough primitives left to bury their
SEVRIN,Fantasy. Fantasy.
MCCOY,I wish it were. There's a nasty little bug evolved in the last
KIRK,Does he have it? What about the others?
MCCOY,All the others are clear. He doesn't have it. He's a carrier.
KIRK,Is the crew in danger?
MCCOY,I don't know. They all had full spectrum immunisations before
SEVRIN,"This is outrageous. You're not isolating me, you're imprisoning"
MCCOY,"Would you like to run the test, Doctor? You knew you were a"
SEVRIN,No!
MCCOY,Then why did you fight the examination?
SEVRIN,It was an infringement on my rights.
KIRK,Put him in isolation.
MCCOY,"Be ready for the objections, Jim. They are a vocal lot."
KIRK,"Yes, I'm ready. Kirk to Security. I want a guard maintained on"
MCCOY,It'll show in twenty four hours. It's a virulent strain.
WOMAN,You don't belong with them! You know what we want. You want it
SULU,How do you know what I want?
WOMAN,"You're young. Think young, brother!"
SULU,You make it tempting.
KIRK,"Mister Sulu. Mister Sulu, explain."
SULU,"No explanation, sir."
KIRK,Doctor Sevrin will be released when we think he is medically
ADAM, Stiff man putting my mind in jail. And the judge bang
ALL,Herbert! Herbert!
KIRK,"Yes, Scotty, what is it?"
KIRK,"Thank you, Scotty. Mister Spock, I don't seem to be able to"
SPOCK,"I shall make an attempt, Captain."
KIRK,"Thank you, Mister Spock. If it weren't for that ambassador's son,"
SPOCK,"Yes, sir."
SEVRIN,I have no influence over what they do.
SPOCK,They respect you. They will listen to your reasoning. For their
SEVRIN,As I have been barred.
SPOCK,Then you knew you were a carrier.
SEVRIN,Of course I knew. You've researched my life. You've read the
SPOCK,What I fail to understand is why you disobey those orders.
SEVRIN,"Because this is poison to me. This stuff you breathe, this"
SPOCK,Your very presence will destroy the people you seek. Surely you
SEVRIN,I shall go to them and be One with them. And together we shall
SPOCK,"Yes, Doctor."
SEVRIN,And for that reason I should persuade my friends to behave so
SPOCK,"Yes, Doctor."
SEVRIN,"All right, you send them in. I'll talk to them."
SPOCK,Doctor Sevrin is insane. I've not consulted
KIRK,"I'll have Bones check him out. Spock, I'm sorry. You had great"
SPOCK,His condition does not affect my interest in the movement. There
KIRK,"Certainly. Mister Chekov, assist Mister Spock. Bridge to Sickbay."
KIRK,Bones.
KIRK,I'd like to talk to you.
SPOCK,Come in.
ADAM,Am I crossing you?
SPOCK,No.
ADAM,"I was just thinking, I  Hey, brother, do you play?"
ADAM,"Oh ho, that's now. That's real now. I reach that, brother. I"
ADAM,"Hey, how about a session, you and us? It would sound. That's what"
SPOCK,"If I understand you correctly, I believe the answer might be"
ADAM,I'll spread the word.
IRINA,Am I allowed in?
CHEKOV,Yes.
IRINA,"I have been looking for you, Pavel. What room is this?"
CHEKOV,Auxiliary control.
IRINA,What's it for?
CHEKOV,"Should the main control room breakdown or suffer damage, we can"
IRINA,To apologise. I should not have teased you. It was cruel.
CHEKOV,It does not matter.
IRINA,"Oh, but it does. It is against everything I believe in."
CHEKOV,Let us not discuss your beliefs.
IRINA,"And I do not like having you angry with me, or disapproving."
CHEKOV,Then why do you do such things?
IRINA,What are you working on?
CHEKOV,I am assisting Mister Spock in locating your Eden.
IRINA,"Oh, now you are teasing me."
CHEKOV,"I am not. These tapes contain star charts, and we project the"
IRINA,Do you know all these things?
CHEKOV,"What I do not know I find out from the computer banks. If, if I"
IRINA,"They tell you what to do, and you do what they tell you."
CHEKOV,No. We use our own judgment also.
IRINA,I could never obey a computer.
CHEKOV,You could never listen to anyone. You always had to be
IRINA,Not different. What I wanted to be. There is nothing wrong in
CHEKOV,"I am sorry, Mister Spock. I was momentarily delayed."
RAD,"His name is Sulu, specialist in weapons and"
ADAM,Can?
RAD,Can. I reach botany. It's my favorite of studies. What's yours?
ADAM,Vulcan. Spock is practically One now.
IRINA,Everything can be handled from auxiliary control. The computers
ADAM,It starts to chime.
RAD,When will it?
ADAM,"Soon. Like he said now, we should all go out and swing as many as"
RAD,Can you suggest any special ways to swing them?
ADAM,Just be friendly. You know how to be friendly. Then they'll be
ADAM," I知 talkin ''bout you, I知 talkin ''bout me. Long time"
ALL,What?
ADAM,If a man tells another man out of my way. He piles up trouble for
GIRL, There's a mile wide emptiness between you and me.
ADAM,"Can't reach across it, hardly even see."
GIRL,Someone ought to take a step one way or other.
ADAM," Let's say goodbye, or let's say brother. Brother."
SCOTT,At least we know where they are and what they're doing. I don't
KIRK,"I used to get into a little trouble when I was that age, Scotty."
SULU,"Captain, I get no response from controls. We're going off course."
SCOTT,"It's shorted. No, it's channeled over somewhere. To auxiliary"
KIRK,Bridge to auxiliary control. Bridge to auxiliary control.
SULU,"Captain, it seems as though someone else is running the ship."
SEVRIN,"I am. All functions, life support as well. You cannot"
SEVRIN,If I am in any way prevented from reaching
KIRK,Can he do it?
SPOCK,"He has the capability, Captain."
KIRK,Start a trace-back of all circuits.
SEVRIN,"Do that, and I shall retaliate."
SULU,"Captain, we're now leaving the Neutral Zone. Bearing into Romulan"
KIRK,Any patrols?
SPOCK,Negative.
KIRK,There will be soon. Doctor Sevrin. You are violating Romulan
KIRK,"And return to Starbase, no charges will be"
ADAM,"Like you said, Brother Sevrin."
KIRK,"If you do not, you will never reach Eden. You"
KIRK,Adam.
KIRK,You are being led by a man who is insane.
KIRK,"Spock, you tell them."
SPOCK,"Adam, there is a file on Doctor Sevrin in our computer banks. In"
SPOCK,That he is a carrier of a bacillus strain
ADAM, Ain't that just awful.
SPOCK,You'll also find a report from the same
ADAM,"Yay, brother."
SPOCK,Adam. You know I reach you. I believe in
ADAM,You're making me cry.
RAD,"There it is. They've established Eden, Brother Sevrin."
IRINA,Pavel said they would. Our original course must have been
SEVRIN,When will we get there?
RAD,"At this speed, three hours."
SEVRIN,They'll try to persuade us to change course presently and then
RAD,How do you plan to stop them? By cutting off their life support?
SEVRIN,"I have another weapon. Take control, Brother Rad."
ADAM,What are you doing?
SEVRIN,Making an adjustment on their circuits.
ADAM," Headin' out to Eden. Yea, brother. Headin' out to Eden."
SPOCK,We are within sensor range of Eden and
KIRK,"Whatever they're going to do, they're going to do now. We have no"
ADAM,When will you use that?
SEVRIN,At the proper time. Let me know when we're in orbit.
RAD,"Approaching right on the dot, just as they plotted it, Brother"
IRINA,What will that do to them? What is it?
SEVRIN,"Well, I'm using sound against them, beyond the ultrasonic. It"
IRINA,"Sound pitched that high doesn't stun, it destroys. I remember"
when we read in the text that it SEVRIN,"I've gone beyond those texts, Irina. It's correct for you to be"
RAD,"We are in orbit over Eden, Brother Sevrin. It does destroy."
SEVRIN,We cannot allow them to come after us. It will not reach us in
KIRK,"Spock! It's all right, Spock. It stopped."
SPOCK,"No, Captain, it hasn't stopped. It has gone beyond"
SPOCK,"Captain, they're using"
ADAM,"Steppin' into Eden. Yea, brother. Steppin'"
SEVRIN,Now we may leave.
SPOCK," Captain, go. I. You must destroy the"
KIRK,What is it?
SPOCK,Ultrasonics. The panel.
KIRK,Kirk to Engineering. Bridge? Hangar deck? Kirk to Transporter
and then KIRK,Never mind. Do we have control of the ship?
KIRK,Can we break out of orbit if we have to?
SULU,"I think so, sir."
KIRK,Kirk here.
CREWMAN,"Sir, one of the shuttlecrafts has been taken. We were all"
KIRK,Stand by. Do you read any Romulans?
SPOCK,"Negative, Captain. However I am picking up the shuttlecraft."
KIRK,Where?
SPOCK,"It has landed. Except for those aboard the craft, I read no life"
KIRK,"Auxiliary control to Doctor McCoy. Bones, are you all right?"
KIRK,"Stand by, transporter room. Full medical gear."
KIRK,"No. No, they tried to destroy us. Let them think they succeeded."
SPOCK,"The legends were true, Captain. Fantastically beautiful planet."
CHEKOV,Eden.
KIRK,Is this what they believed they'd find? Then I can understand.
KIRK,What is it?
CHEKOV,"The flower, sir. I touched it. It's like fire."
MCCOY,It's burned. All this plant life is full of acid. Even the
KIRK,Will our clothing protect us?
MCCOY,It should for a while.
SPOCK,Captain.
KIRK,Bones?
MCCOY,Poison. The fruit is deadly.
SPOCK,His name was Adam.
KIRK,There's the shuttlecraft.
KIRK,"Here, we'll help you."
KIRK,Doctor Sevrin. Bones!
MCCOY,"He should be beamed aboard, Jim. He needs more than I can do for"
SPOCK,Spock to Enterprise.
SPOCK,Stand by to beam aboard injured parties. Medical team to the
SEVRIN,"No, we're not leaving."
KIRK,We can help you aboard the ship.
SEVRIN,"We're not leaving Eden, none of us."
KIRK,"Be sensible, Doctor."
SEVRIN,We're not leaving.
MCCOY,"Come back here, you fool!"
KIRK,"Sevrin, don't! You'll kill yourself!"
MCCOY,Don't bite into that!
KIRK,Stop!
IRINA,It was so beautiful.
PALMER,"I have Starbase now, Captain."
KIRK,Alert them that we have the four and we're ready to beam them
PALMER,"Aye, sir."
KIRK,"Bridge to Transporter. Scotty, are they there?"
KIRK,"Stand by. Mister Chekov, do you wish to attend?"
CHEKOV,"Captain, I wish first to apologise for my conduct during this"
KIRK,"Thank you, Mister Chekov. You did what you had to do. As did we"
CHEKOV,"Thank you, sir."
CHEKOV,I was coming to say goodbye.
IRINA,"And I was coming to say goodbye to you.  Be incorrect,"
CHEKOV,And you be correct.
IRINA,Occasionally.
SPOCK,Miss Galliulin. It is my sincere wish that you do not give up
IRINA,Thank you.
KIRK,"We reach, Mister Spock."
Original Airdate,"28 Feb, 1969"
KIRK," At Federation orders, we're"
UHURA,"Captain, the High Advisor of Ardana is ready to receive you on"
KIRK,"On Stratos? That's their cloud city, isn't it, Mister Spock?"
SPOCK,"It is, Captain."
KIRK,There must be some mistake. Do you have the co-ordinates to the
SPOCK,"They've already been provided to the transport officer, Captain."
KIRK,Kirk to transporter room.
KIRK,"Mister Scott, are you locked in on the mine entrance or on their"
SCOTT,"The mine entrance. That's what you ordered, Captain."
KIRK,Fine. Uhura. Tell the High Advisor that we request to dispense
UHURA,"Aye, sir."
KIRK,"Mister Spock, come with me. Oh, and tell them that we appreciate"
UHURA,"Aye, sir."
SPOCK,"Stratos, Captain. A city actually floating in the sky."
KIRK,"Looks as tranquil as its reputation, doesn't it."
SPOCK,It is one of the most interesting metropolises in the galaxy.
KIRK,Once. I didn't have time to look around.
SPOCK,"I've never had the opportunity. However, I hear its art forms"
KIRK,"Yes, art is the population's chief occupation."
SPOCK,It is a totally intellectual society. All forms of violence have
KIRK,There's the mine entrance. The zenite consignment should have
SPOCK,"Perhaps there is another entrance, Captain."
KIRK,Perhaps.
SPOCK,It would seem the Troglytes have changed their minds about
KIRK,Who are you? What's the meaning of this attack?
VANNA," Interference breeds attack, Captain. Come on!"
KIRK,We're here by permission of your government council on an
VANNA,"Move on, Captain!."
PLASUS,"Troglytes, halt!"
PLASUS,Surrender or we'll fire!
PLASUS,"Are you harmed, gentlemen?"
KIRK,"No, just a little shaken up."
PLASUS,"I'm Plasus, High Advisor of the planet council."
KIRK,"Captain Kirk, Enterprise. My first officer, Mister Spock."
SPOCK,"Greetings, Mister Advisor."
PLASUS,My regrets for the unpleasantness of your welcome to Ardana.
KIRK,It was rather warm.
PLASUS,"Unfortunately, violence is habitual with the Troglytes. But I"
KIRK,"Well, I'm more concerned with the zenite consignment. Why wasn't"
PLASUS,"Apparently the Disrupters have confiscated it, as I knew they"
SPOCK,The Disrupters? Who are they?
PLASUS,A small group of Troglyte malcontents. All the other Troglytes
KIRK,They agreed to the delivery. Your council assured us of it.
PLASUS,They agreed obviously as a ruse to get valuable hostages.
KIRK,Hostages? For what purpose?
PLASUS,To force the council to meet their demands. 
PLASUS,"Meanwhile, Captain, I would suggest that you and First Officer"
KIRK,"Very well. I do hope the search will be brief, Mister Advisor."
PLASUS,"We'll do everything possible to make it so. Come, gentlemen."
SPOCK,Remarkable. The finest example of sustained antigravity
DROXINE,"The sentinel told me of our honoured guests, my father. I came"
PLASUS,A most gracious act. One of our planet's most incomparable
KIRK,"Pleasure, madam."
DROXINE,"Indeed, yes, Captain."
PLASUS,And First Officer Spock.
DROXINE,"I have never before met a Vulcan, sir."
SPOCK,"Nor I a work of art, madam."
PLASUS,"Come, gentlemen. There is much to see in our city. This is our"
PLASUS,Disrupters again.
DROXINE,How dreadful!. They're despoiling the whole city.
SPOCK,Despoil? For what purpose?
PLASUS,"By keeping us in constant turmoil, they hope to force the"
KIRK,What are their demands?
PLASUS,"Completely unreasonable, Captain, but nothing you need be"
KIRK,I must concern myself with it if it should interfere with the
SPOCK,"Mister Advisor, the plant life is the source of oxygen on that"
PLASUS,"I assure you, gentlemen, you will get what you came for."
KIRK,"I hope so. Ardana is a member of the Federation, and it is your"
PLASUS,"Of course, and we accept the responsibility."
SPOCK,But why do they destroy art forms? That is a loss to everyone.
PLASUS,Art means nothing to the Disrupters. This  is the
SPOCK,"That would be most welcome, Mister Advisor."
PLASUS,Chambers have been prepared for you. A sentinel will guide you
DROXINE,I'm sorry they were so poorly treated on their first visit to
PLASUS,It's fortunate that they were not seriously hurt.
DROXINE,"Oh, yes, that would have been dreadful."
PLASUS,Further violence could create grave difficulties between Ardana
DROXINE,The Disrupters must be mad to attack two such charming
PLASUS,They grow more daring and determined every day. Now they seek
DROXINE,Do you think that Captain Kirk and his very attractive officer
PLASUS,All this time I thought you were worried about our diplomatic
SENTINEL,"Apologies, Mister Advisor, but this Troglyte was apprehended"
PLASUS,Remove his shields.
PLASUS,"What is your business in Stratos, Troglyte? Speak! I command"
TROGLYTE,My business is to repair.
PLASUS,Repair what?
TROGLYTE,There are damaged entrance panels.
PLASUS,Indeed. Then you must have a repair permit. Where is it?
TROGLYTE,It was forgotten.
PLASUS,Did you also forget your transport card?
TROGLYTE,It was lost when your sentinels attacked me.
PLASUS,And where was your cavern implement lost? Could this perhaps be
TROGLYTE,I came to make repairs.
PLASUS,And you shall make them by giving us the names of the
TROGLYTE,I know nothing.
PLASUS,I would advise you to increase your knowledge.
TROGLYTE,That is not possible for a Troglyte. The Stratos city
PLASUS,Secure him to the rostrum.
PLASUS,How unfortunate. How unfortunate.
DROXINE,"Mister Spock, I thought you had accompanied Captain Kirk to"
SPOCK,Your movements awakened me.
DROXINE,My apologies. I did not realise they would disturb you.
SPOCK,Only Vulcan ears would find the noise discernible.
DROXINE,It seems that Vulcans are fascinatingly different in many
SPOCK,The same may be said of Stratos inhabitants.
DROXINE,"Vulcan eyes are very discerning too. I hear that,"
SPOCK,We do pride ourselves on our logic.
KIRK,You again!
VANNA,"You sleep lightly, Captain."
KIRK,"Yes, duty is a good teacher. I see you've changed your"
VANNA,Release me.
KIRK,So you can attack me again? That would be foolish.
VANNA,"Call the guards if you’re afraid, Captain."
KIRK,"I'm not afraid. In fact, I find this rather enjoyable."
VANNA,I do not!
KIRK,"All right, I'll make a deal with you. You answer some questions"
VANNA,What questions?
KIRK,Your word first.
VANNA,I will answer.
DROXINE,You only take a mate once every seven years?
SPOCK,The seven-year cycle is biologically inherent in all Vulcan’s.
DROXINE,"And is there nothing that can disturb that cycle, Mister"
SPOCK,"Extreme feminine beauty is always disturbing, madam."
VANNA,"I did not come here to kill you, Captain."
KIRK,Then why this?
VANNA,To take you hostage.
SPOCK,"Am I intruding, Captain?"
DROXINE,Vanna!
VANNA,Droxine.
DROXINE,Why have you come here?
VANNA,To welcome our honoured guests as I was taught to do when I
DROXINE,"Has she injured you, Captain?"
KIRK,"No, not at all. In fact her visit was quite enlightening."
DROXINE,Oh?
KIRK,"Yes, it seems the Troglytes are under the impression that the"
DROXINE, Send a sentinel to the rest chamber
VANNA,"It is not impression, Captain. It is the truth."
KIRK,"We're here to get that zenite consignment, and that's it."
VANNA,Starships do not transport cargo.
KIRK,"In times of emergency, they do anything. And believe me, this"
VANNA,"Lies will not keep the Troglytes in the caverns, and neither"
DROXINE,"You talk like a Disrupter, Vanna."
VANNA,I speak for my people. They have as much right to the clouds as
DROXINE,But Stratos is for advisors and studiers. What would Troglytes
VANNA,"Live in the sunlight and warmth, as everyone should."
DROXINE,The caverns are warm and your eyes are not accustomed to
KIRK,Unaccustomed to light and warmth? That's necessary to all
DROXINE,"The Troglytes are workers, Captain. Oh surely, you must be"
SPOCK,"In other words, they perform all the physical toil necessary to"
DROXINE,That is their function in our society.
SPOCK,But they are not allowed to share its advantages.
DROXINE,How can they share what they do not understand?
KIRK,"They can be taught to understand, especially in a society that"
DROXINE,The complete separation of toil and leisure has given Ardana
SPOCK,The surface of the planet is almost unendurable. To restrict a
DROXINE,"The surface is marred by violence, like the Troglytes. But"
PLASUS,You still refuse to disclose the names of the other Disrupters.
VANNA,There are no Disrupters!
PLASUS,"Very well, if you prefer the rays."
SPOCK,Troglyte is an abbreviation of an ancient Earth term. Its
KIRK,"Yes, I should have realised."
KIRK,Mister Advisor!
KIRK,"You said you were going to question Vanna, not torture her."
PLASUS,"She's stubborn, and as you yourself pointed out, Captain, the"
KIRK,Surely there are better methods than this.
PLASUS,"Physical discomfort is extremely persuasive, Captain."
KIRK,"Yes, but I won't stand by while someone is tortured!"
PLASUS,Is it preferable to spare Vanna and allow an entire planet to
SPOCK,"Violence in reality is quite different from theory, is it not,"
DROXINE,"But what else can they understand, Mister Spock?"
SPOCK,"All the little things you and I understand and expect from life,"
PLASUS,"Troglytes are not like Stratos dwellers, Mister Spock. They're"
KIRK,The abstract concepts of loyalty and leadership seem clear to
PLASUS,A few Troglytes are brought here as retainers. Vanna was one of
KIRK,But obviously no more consideration.
PLASUS,I fail to see the purpose of this continued criticism.
KIRK,The only way you'll use that device again is on one of us.
PLASUS,"An imposing display of primitive gallantry, gentlemen. You"
KIRK,"Of course, but Starfleet command won't take kindly to having"
PLASUS,Why are you so concerned with this Disrupter's well-being?
KIRK,"Beyond plain humanitarianism, my orders are to get that zenite."
PLASUS,"Then stop interfering, and I'll get it for you."
KIRK,You won't get it through torture.
PLASUS,"We will get it for you, and in our own way. Remove the prisoner"
KIRK,Kirk to Enterprise.
KIRK,"Mister Scott, we're ready to beam up."
PLASUS," If Captain Kirk appears again, kill him."
KIRK,"Lieutenant Uhura, advise Starfleet command"
MCCOY,"That may not be easy, Jim. Medical analysis indicates the"
KIRK,"That's impossible, Bones. The Troglytes have accepted personal"
MCCOY,"Look, I've checked my findings thoroughly. Their intellect"
SPOCK,But they're all the same species. Those who live on Stratos and
MCCOY,"That's true, Spock, but obviously the ancestors of those who"
KIRK,Natural growths? What kind?
MCCOY,Well. I had this zenite sample sent up from the surface. Now
SPOCK,Incredible. Zenite is shipped all over the galaxy wherever there
MCCOY,"There are none after it’s refined. But in its raw state, it"
KIRK,And the mines are full of that gas.
MCCOY,That's right. And the Troglytes are constantly exposed to
KIRK,"Bones, the Disrupters, Vanna. It seems impossible. They've"
SPOCK,"As part of the staff of Stratos, Vanna was removed from exposure"
MCCOY,"That's right, Spock. The other Disrupters were probably removed"
KIRK,Does the brain return to normal?
MCCOY,"According to findings, it should."
KIRK,Can you neutralise the gas?
MCCOY,"No, but a filter mask should remove the exposure."
KIRK,Find one. Meet us in the transporter room.
KIRK,This mask automatically eliminates all substance injurious to
MCCOY,There's every indication that the effect of the gas is
KIRK,Doctor McCoy has analysed the zenite thoroughly. We've checked
SPOCK,Unequal evolution did not begin until after your ancestors
KIRK,There's no time to argue about the findings now. I simply propose
KIRK,This nonsense might mean a great deal to the Troglytes. I would
MCCOY,But that could take days.
KIRK,Are you afraid the filter masks will work? Is that why you don't
KIRK,"I am here to get that zenite. If these will help me get them,"
KIRK,My diplomacy is somewhat inadequate.
MCCOY,It's pretty hard to overcome prejudice.
KIRK,"Doesn't give us much choice, does it."
SPOCK,Nor much time. We have ten hours and forty minutes to deliver
KIRK,Beam me down to Vanna's confinement quarters.
MCCOY,You mean you're going back to Stratos against government orders?
KIRK,"If Vanna doesn't have something definite to gain for her people,"
SPOCK,"Captain, if you are apprehended deliberately violating the High"
KIRK,"If you’re about to suggest that you contact Vanna, the answer is"
SPOCK,Allow me to point out that a first officer is more expendable
KIRK,"Officially, yes. But this mission is strictly unofficial."
KIRK,"Vanna, I've brought you a gift. There's a dangerous gas in the"
VANNA,Gas from zenite?
KIRK,Yes.
VANNA,It's hard to believe something which is neither seen nor felt
KIRK,That's true. But an idea can't be seen or felt. That's what's
VANNA,Would all the Troglytes wear these masks?
KIRK,Yes. I'll see to it that the Federation engineers construct them.
VANNA,Suppose Plasus does not agree?
KIRK,Plasus is not the whole government.
VANNA,"That is true, but the city council will not listen to Troglytes."
KIRK,"As soon as the zenite is delivered to Merak Two, I'll come back."
VANNA,"Centuries ago, Stratos was built by leaders that gave their word"
KIRK,The zenite can be delivered in a few hours. You won't have long
VANNA,"Hours can be centuries, just as words can be lies."
KIRK,"Vanna, you must trust me. If you don't, millions of people will"
VANNA,"Very well, Captain. I will trust you. The consignment lies deep"
VANNA,It's the sentinel with my refreshment.
VANNA,Wait. We'll need a transport pass to leave the city.
VANNA,Midro.
MIDRO,Vanna.
VANNA,Anka.
ANKA,You have returned.
VANNA,And I've brought with me a hostage. Seize him!
KIRK, We had a bargain. Why did you break it?
VANNA,"Did you really think I would trust you, Captain? I'm not such a"
KIRK,I trusted you.
VANNA,You thought you would trick me with your talk of your filter and
KIRK,"Then you are a fool. These masks will free you, just as I said."
VANNA,Our weapons are our freedom. And you’ve just furnished me with
KIRK,Holding me won't help you. My men'll still come for that zenite
VANNA,"Without your communicator, you will be hard to locate."
KIRK,They'll still come.
VANNA,"Perhaps. In the meantime, a taste of our existence, Captain. Dig"
KIRK,"Without that mask, I haven't"
VANNA,"With your bare hands, Captain."
VANNA,"You dig well, Captain. The unseen gas"
KIRK,It takes a while for its effects to be noticed.
VANNA,"Nevertheless, you won't be needing this. Anka, deposit this on"
ANKA,"You are clever, Vanna. Very clever."
VANNA,"Searchers will be coming soon, Midro. Go to the other mines and"
MIDRO,What of him?
VANNA,I will see that he doesn't escape.
MIDRO,"If we kill him, there will be no need to see."
VANNA,"A dead hostage is of no value, Midro."
MIDRO,Only the Troglytes will know.
VANNA,I brought him here and I will say what is to be done.
MIDRO,"You are not the only Disrupter. I, too, can say."
VANNA,Can you do nothing but argue? The searchers will be here soon.
MIDRO,"When Anka returns, we will all say."
KIRK,"Is that what Disrupters are bargaining for, the right to kill"
VANNA,Midro is a child.
KIRK,The masks can change that.
VANNA,"Return to the digging, Captain."
KIRK,"How long do you plan on keeping me here, providing Midro doesn't"
VANNA,Until we have help in the mines and our homes are in the clouds.
KIRK,That's quite a while. Longer than I expected.
VANNA,We're sealed in!
KIRK,Completely.
VANNA,But soon the atmosphere will go. We'll die.
KIRK,"Die from something that can't be seen? You astound me, Vanna."
KIRK,Nothing. Are you locked in on me?
SPOCK,Locked in and ready to beam up consignment.
KIRK,"Circumstances dictate a slight variation,"
SPOCK,Standing by for instructions.
KIRK,Hold on these co-ordinates. Locate the High
SPOCK,Instructions clear. I shall carry them out
VANNA,You would seal Plasus here also? For what
KIRK,I am preparing a demonstration on the effects of unbelieved gas.
SCOTT,"Beam the High Advisor down without warning,"
SPOCK,"That's not an exact quote, Mister Scott. However, it does"
SCOTT,I'd like to see the Advisor's face.
SPOCK,You will have that opportunity.
SCOTT,"The captain did say immediately, did he not?"
SPOCK,"Now that is an exact quote, Mister Scott, and I suggest you"
SCOTT,Aye.
PLASUS,"Something's upsetting you, Droxine."
DROXINE,"No, Father."
PLASUS,What is it? Tell me.
DROXINE,"No, really. I'm not upset. I was just standing here looking"
PLASUS,He will never return. I've seen to that.
DROXINE,But the zenite is so important to him. He must have it.
PLASUS,"It will be delivered. If we have to kill every Troglyte, it"
DROXINE,"By that time, it may be too late. Perhaps he does have a"
method PLASUS,He knows nothing except how to destroy our power and our
SPOCK,Spock here.
SPOCK,You'll have to delay.
SPOCK,Picking up two life-forms in the gallery.
SPOCK,Without the other.
SPOCK,"Precisely, Mister Scott."
SPOCK,"Until the High Advisor is alone or can be isolated, the captain"
DROXINE,"No, I wasn't thinking of Captain Kirk."
PLASUS,"Oh, he's no better than his friend."
DROXINE,Shall we try?
PLASUS,What is it?
SENTINEL,The Disrupter Vanna has disappeared. Her guard was found half
PLASUS,Where is Captain Kirk?
SENTINEL,"He did not know, sir. He did not regain his senses until I"
PLASUS,This is the kind of reason they use to persuade us.
DROXINE,They are desperate.
PLASUS,I will hear no more defence of them.
DROXINE,I'm sure Mister Spock would not behave so.
PLASUS,Leave here at once. Go to your music.
DROXINE,"Father, are we so sure of our methods that we never question"
SPOCK,Spock to transporter room.
SPOCK,Lock in on Council Gallery co-ordinates.
SPOCK,Energise.
SCOTT,Energising.
SPOCK,"How are you doing, Mister Scott?"
SCOTT,"Fine, Mister Spock. The High Advisor's"
SPOCK,Beam him down to Captain Kirk immediately.
SPOCK,"Good work, Mister Scott."
SPOCK,The captain will employ his usual diplomatic balm.
PLASUS,Abduction of a planet official is a serious
KIRK,"Not until you're convinced of the effects of the zenite gas,"
PLASUS,What effects? I've been here nearly an hour of your Earth time.
KIRK,Perhaps you need closer exposure. Fill that container.
PLASUS,Are you suggesting that I dig zenite?
KIRK,I insist.
PLASUS,You will indeed pay for this.
KIRK,"You too, Vanna. You too! Dig! Kirk here. What is it?"
SPOCK,"Contact check, Captain. It has been over an"
KIRK,"Your orders are to stand by. Now, carry them"
SPOCK,"Standing by, Captain."
SPOCK,That is very unlike the captain.
MCCOY,Can the zenite be affecting him?
VANNA,I grow faint. The oxygen is going.
PLASUS,"She's right. Kirk, transport us out of here."
KIRK,We'll leave when the gas has effect.
PLASUS,It will never take effect. Transport us out of here!
KIRK,Dig!
PLASUS,Imbecile! We'll die!
KIRK,I said dig!
PLASUS,I am High Advisor of all the planet. I will take no more
KIRK,One more step and I'll kill you.
VANNA,"The gas! Captain, you were right. It's taking effect! Captain,"
PLASUS,Are you as brave with mortae as you are with a phaser?
KIRK,Both will kill.
VANNA,"Enterprise! Enterprise, help! Enterprise!"
SPOCK,"Enterprise, Spock here."
VANNA,Help us! Enterprise!
SPOCK,"Captain, the zenite gas has affected you. Captain! The zenite"
KIRK,The zenite gas.
MCCOY,"Look out, Jim!"
KIRK,"Well, it seems my little demonstration was quite a success."
DROXINE,"I don't like filters, or even masks. I"
SPOCK,"It is less technical, therefore less accurate, but perhaps more"
PLASUS,It appears you have what you came for after all.
VANNA,"The captain will have his zenite, just as I agreed."
PLASUS,Agreed? There's no such word in the Troglyte vocabulary.
VANNA,The captain will have his zenite.
PLASUS,No thanks to any agreement by you. It had to be obtained by
VANNA,Because it is the only way we can obtain what is due us.
PLASUS,How about your education? Was that by force?
VANNA,It served your purpose at the time.
PLASUS,You could have had those filters for all the good it will do
KIRK,"They will be very effective. sir. They've been severely tested,"
PLASUS,"They will all be like her. ungrateful, vindictive."
VANNA,"Yes. Our demands have just begun. Here is the zenite, Captain,"
KIRK,"Thank you, Vanna."
DROXINE,Stratos is so pleasant and so beautiful. I think I'm afraid to
SPOCK,"There is great beauty in the knowledge that lies below, and only"
DROXINE,I shall go to the mines. I no longer wish to be limited to the
SPOCK,"No. No, Vulcan is quite different."
DROXINE,Someday I should like to visit it.
KIRK,Perhaps some form of mediation can be helpful in your
